Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant,Prop_Antibiotics_Sold_Without_Prescription,Animal Product Consumption
Turkey,Europe and Central Asia,68.7383,9.80275,19.685,43.6,45.85727,189.6048,0.51,50.0,189.604845.857279.80275
Thailand,East Asia and Pacific,337.7773,11.82369,15.581,14.8,25.91616,28.80462,0.47,73.3,28.8046225.9161611.82369
Timor-Leste,East Asia and Pacific,Empty,Empty,13.242,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Togo,Sub-Saharan Africa,17.36265,2.190335,12.962,10.4,10.37732,5.042636,Empty,70.7,5.04263610.377322.190335
Tokelau,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Tonga,East Asia and Pacific,147.6218,3.336419,16.287,30.0,150.2406,53.77941,Empty,73.3,53.77941150.24063.336419
Trinidad And Tobago,Latin America and the Caribbean,40.5739,5.066238,14.101,6.5,64.12119,76.29039,Empty,71.5,76.2903964.121195.066238
Tunisia,Middle East and North Africa,22.305,7.095983,14.62,32.2,30.82063,102.0863,Empty,63.1,102.086330.820637.095983
Turkmenistan,Europe and Central Asia,115.282,11.39363,13.241,31.9,52.4587,114.1408,Empty,50.0,114.140852.458711.39363
Turks And Caicos Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Tuvalu,East Asia and Pacific,Empty,9.330864,12.102,Empty,77.08694,23.13512,Empty,73.3,23.1351277.086949.330864
Uganda,Sub-Saharan Africa,20.96775,0.788946,11.496,9.2,9.587189,29.87009,Empty,70.7,29.870099.5871890.788946
Ukraine,Europe and Central Asia,57.90405,15.562,13.328,112.3,46.38618,141.8666,0.43,50.0,141.866646.3861815.562
United Arab Emirates,Middle East and North Africa,52.43877,11.27358,17.208,28.7,76.70278,120.5803,0.38,63.1,120.580376.7027811.27358
United Kingdom,Europe and Central Asia,15.60899,9.139245,17.634,449.6,83.25328,208.9055,Empty,50.0,208.905583.253289.139245
United States,North America,30.60352,15.74897,16.413,Empty,121.7128,228.1323,0.31,71.0,228.1323121.712815.74897
Uruguay,Latin America and the Caribbean,73.39216,14.64641,17.352,45.0,64.44014,226.56,Empty,71.5,226.5664.4401414.64641
Uzbekistan,Europe and Central Asia,83.21526,12.20032,11.993,31.8,42.0123,259.1106,Empty,50.0,259.110642.012312.20032
Vanuatu,East Asia and Pacific,99.78377,2.577917,11.812,25.6,36.88404,21.98013,Empty,73.3,21.9801336.884042.577917
Venezuela,Latin America and the Caribbean,54.22483,5.998797,13.502,25.3,37.05611,93.24217,0.5,71.5,93.2421737.056115.998797
Vietnam,East Asia and Pacific,124.1683,3.713503,Empty,19.8,52.75736,36.65238,0.66,73.3,36.6523852.757363.713503
Virgin Islands,Latin America and the Caribbean,Empty,Empty,Empty,7.7,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Wallis And Futuna,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Western Sahara,Middle East and North Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,63.1,EmptyEmptyEmpty
Yemen,Middle East and North Africa,52.33308,1.49869,7.935,23.4,14.14058,23.07982,Empty,63.1,23.0798214.140581.49869
Zambia,Sub-Saharan Africa,18.67087,2.781207,11.018,8.8,17.96858,7.280802,0.58,70.7,7.28080217.968582.781207
Zimbabwe,Sub-Saharan Africa,21.34658,1.117215,11.026,8.8,57.49594,27.94053,0.7,70.7,27.9405357.495941.117215
