Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant,Prop_Antibiotics_Sold_Without_Prescription
France,Europe and Central Asia,22.00374,13.37827,15.988,66.6,82.49285,251.0864,0.15,50.0
French Guiana,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
French Polynesia,East Asia and Pacific,439.1657,13.09715,Empty,Empty,105.0612,128.1533,Empty,73.3
French Southern Territories,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
Gabon,Sub-Saharan Africa,30.53426,0.805912,12.434,10.7,64.29604,21.9955,Empty,70.7
Gambia,Sub-Saharan Africa,20.50713,3.930987,8.978,11.9,23.95542,22.1798,Empty,70.7
Georgia,Middle East and North Africa,82.61754,10.923,16.727,36.1,39.69576,179.8298,0.21,63.1
Germany,Europe and Central Asia,36.39595,15.57616,17.343,88.3,70.71238,208.4488,0.15,50.0
Ghana,Sub-Saharan Africa,23.15382,1.080546,11.586,11.0,17.91485,8.119243,0.59,70.7
Gibraltar,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0
Greece,Europe and Central Asia,78.13855,9.444979,20.026,68.7,78.71148,231.5167,0.34,50.0
Greenland,Latin America and the Caribbean,Empty,Empty,Empty,47.8,Empty,Empty,Empty,71.5
Grenada,Latin America and the Caribbean,220.3327,20.41533,16.582,6.7,83.22759,135.8376,Empty,71.5
Guadeloupe,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Guam,East Asia and Pacific,Empty,Empty,Empty,34.8,Empty,Empty,Empty,73.3
Guatemala,Latin America and the Caribbean,60.38946,12.18729,10.767,22.7,46.03976,46.16974,Empty,71.5
Guernsey,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0
Guinea,Sub-Saharan Africa,141.5578,0.447329,11.127,10.7,58.4212,6.660235,Empty,70.7
Guinea-Bissau,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
Guyana,Latin America and the Caribbean,46.20012,1.407538,13.022,5.4,76.32202,121.6979,Empty,71.5
Haiti,Latin America and the Caribbean,61.2176,0.382689,11.138,4.7,19.83939,7.04953,Empty,71.5
Heard Island And Mcdonald Islands,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Holy See,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0
Honduras,Latin America and the Caribbean,46.59542,4.018053,9.962,22.7,39.33305,67.34975,Empty,71.5
Hong Kong,East Asia and Pacific,72.16804,24.12392,Empty,Empty,123.7391,66.04235,Empty,73.3
Hungary,Europe and Central Asia,62.03732,13.7813,15.073,80.6,78.87965,177.3042,0.28,50.0
Iceland,Europe and Central Asia,9.830115,9.587983,19.107,66.8,91.59563,193.4557,0.14,50.0
India,South Asia,114.2534,4.633029,12.584,16.2,6.591627,81.32656,0.71,49.7
Indonesia,East Asia and Pacific,87.04435,19.28694,13.976,14.0,18.93123,17.54795,0.66,73.3
Iran,Middle East and North Africa,145.3703,8.86255,14.117,27.0,31.56294,25.31168,0.65,63.1
Iraq,Middle East and North Africa,56.0852,2.372846,12.223,26.2,19.06937,17.65778,0.55,63.1
Ireland,Europe and Central Asia,20.45518,13.14262,19.126,71.0,89.12802,304.9443,Empty,50.0
Isle Of Man,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0
Israel,Middle East and North Africa,51.04705,12.29183,15.03,70.9,112.3838,179.6811,Empty,63.1
Italy,Europe and Central Asia,72.59271,12.18,16.658,93.8,72.86217,227.9344,0.32,50.0
Jamaica,Latin America and the Caribbean,46.42536,3.515365,12.46,7.2,64.65084,101.4178,Empty,71.5
Japan,East Asia and Pacific,62.79357,19.75332,15.456,39.2,59.91444,61.62997,0.29,73.3
Jersey,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0
Jordan,Middle East and North Africa,41.05746,4.381492,12.627,31.4,37.98964,65.74244,0.53,63.1
Kazakhstan,Europe and Central Asia,88.82079,7.542468,14.816,31.3,67.95967,274.7434,Empty,50.0
Kenya,Sub-Saharan Africa,25.19668,1.125314,11.384,11.0,10.90459,81.53052,0.58,70.7
Kiribati,East Asia and Pacific,Empty,2.946819,11.803,25.5,43.15632,18.07315,Empty,73.3
Korea,East Asia and Pacific,121.5339,12.6081,16.51,75.2,83.45363,31.37016,0.41,73.3
Kuwait,Middle East and North Africa,51.57773,16.87266,15.691,30.9,76.65247,139.3715,0.49,63.1
Kyrgyzstan,Europe and Central Asia,107.8798,5.614652,12.995,31.3,36.37608,192.1088,Empty,50.0
Laos,East Asia and Pacific,107.5831,2.061914,Empty,15.6,29.84297,7.291407,0.3,73.3
Latvia,Europe and Central Asia,16.15828,10.64509,16.556,111.9,82.30761,215.6172,0.21,50.0
Lebanon,Middle East and North Africa,29.44482,7.224733,12.051,19.3,38.50324,109.4891,0.52,63.1
Lesotho,Sub-Saharan Africa,27.8202,0.56483,11.071,8.7,11.2966,95.38568,Empty,70.7
Liberia,Sub-Saharan Africa,12.84324,2.121745,10.466,10.9,20.09243,2.930968,0.48,70.7
Libya,Middle East and North Africa,27.61976,8.84572,13.977,18.3,42.89891,140.6734,Empty,63.1
Liechtenstein,Europe and Central Asia,Empty,Empty,15.466,Empty,Empty,Empty,Empty,50.0
Lithuania,Europe and Central Asia,8.52686,14.72201,16.4,111.7,79.44809,254.1011,0.18,50.0
Luxembourg,Europe and Central Asia,12.26203,20.30082,14.197,110.9,85.30704,228.513,0.21,50.0
Macao,East Asia and Pacific,Empty,20.36086,Empty,Empty,111.664,35.77708,Empty,73.3
Madagascar,Sub-Saharan Africa,21.19254,0.505896,9.213,11.0,5.341094,16.44162,0.51,70.7
Malawi,Sub-Saharan Africa,16.09653,0.912691,11.505,8.9,30.58507,10.67452,0.6,70.7
Malaysia,East Asia and Pacific,90.55596,15.70947,12.932,17.4,69.2547,41.5626,0.25,73.3
Maldives,South Asia,Empty,20.69712,12.178,19.3,38.90579,117.277,Empty,49.7
Mali,Sub-Saharan Africa,30.64287,0.316326,7.647,9.6,11.12084,100.6312,0.44,70.7
Malta,Europe and Central Asia,57.22128,12.95378,15.861,66.3,66.04108,284.1351,Empty,50.0
Marshall Islands,East Asia and Pacific,Empty,11.59158,16.386,26.2,122.7069,43.35954,Empty,73.3
Martinique,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Mauritania,Sub-Saharan Africa,35.61663,1.466795,8.052,13.0,32.71633,105.0361,Empty,70.7
Mauritius,Sub-Saharan Africa,10.65216,8.543424,14.61,19.1,61.23975,144.8411,Empty,70.7
Mayotte,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
Mexico,Latin America and the Caribbean,70.67738,21.33444,14.505,27.9,76.85157,124.2791,0.62,71.5
Micronesia,East Asia and Pacific,143.532,5.274061,12.615,26.3,63.52291,8.847797,Empty,73.3
Moldova,Europe and Central Asia,51.53367,10.1069,14.906,99.4,35.42888,90.98945,Empty,50.0
Monaco,Europe and Central Asia,Empty,Empty,18.692,Empty,Empty,Empty,Empty,50.0
Mongolia,East Asia and Pacific,252.7873,6.593973,14.517,29.7,132.2609,241.7088,Empty,73.3
Montenegro,Europe and Central Asia,90.20159,14.83404,15.085,163.5,90.21832,402.5595,Empty,50.0
Montserrat,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Morocco,Middle East and North Africa,20.16377,8.148039,14.594,28.5,31.5887,34.64924,Empty,63.1
Mozambique,Sub-Saharan Africa,14.44418,0.494701,10.725,9.8,11.1661,2.241297,Empty,70.7
Myanmar,East Asia and Pacific,91.84039,1.985484,12.061,15.9,20.23783,8.214057,0.62,73.3
Namibia,Sub-Saharan Africa,22.40118,0.986058,11.76,10.4,24.79359,56.34746,Empty,70.7
Nauru,East Asia and Pacific,Empty,14.37312,12.561,Empty,115.6388,94.75973,Empty,73.3
Nepal,South Asia,102.8166,1.963487,12.645,14.0,17.26019,41.61359,0.46,49.7
Netherlands,Europe and Central Asia,20.83366,32.45106,18.583,69.6,63.85246,264.072,0.13,50.0
New Caledonia,East Asia and Pacific,109.6712,10.17896,Empty,Empty,83.36047,133.4575,Empty,73.3
New Zealand,East Asia and Pacific,9.997013,10.24583,19.682,148.2,87.50379,128.4467,0.1,73.3
Nicaragua,Latin America and the Caribbean,49.12637,4.738482,12.583,27.1,33.55134,138.4793,Empty,71.5
Niger,Sub-Saharan Africa,24.62592,2.663812,10.514,11.8,7.452798,4.808572,0.87,70.7
Nigeria,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
Niue,East Asia and Pacific,5347.229,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Norfolk Island,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
North Macedonia,Europe and Central Asia,111.3654,6.746444,13.005,Empty,48.13525,162.711,Empty,50.0
Northern Mariana Islands,East Asia and Pacific,Empty,Empty,Empty,34.5,Empty,Empty,Empty,73.3
Norway,Europe and Central Asia,4.339035,12.29913,18.638,274.4,71.94246,174.4983,0.1,50.0
Oman,Middle East and North Africa,59.42219,13.37507,14.508,27.6,69.63445,222.8425,0.5,63.1
Pakistan,South Asia,101.1734,3.7159,7.895,15.9,20.4181,110.6158,0.73,49.7
Palau,East Asia and Pacific,Empty,Empty,17.22,Empty,Empty,Empty,Empty,73.3
Palestine,Middle East and North Africa,94.70892,Empty,13.155,30.2,Empty,Empty,Empty,63.1
Panama,Latin America and the Caribbean,54.56314,7.823857,13.214,29.1,78.8797,49.8583,Empty,71.5
Papua New Guinea,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Paraguay,Latin America and the Caribbean,54.19864,17.78318,13.911,50.0,32.27653,66.07761,Empty,71.5
Peru,Latin America and the Caribbean,64.92041,11.21918,14.805,9.5,55.21098,83.6302,0.57,71.5
Philippines,East Asia and Pacific,116.3298,5.647939,12.783,13.2,35.55058,29.75055,Empty,73.3
Pitcairn,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Poland,Europe and Central Asia,68.81839,5.575844,15.935,189.7,84.74869,198.1657,0.33,50.0
Portugal,Europe and Central Asia,87.356,11.71325,16.821,47.3,97.03857,181.23,0.22,50.0
Puerto Rico,Latin America and the Caribbean,50.39188,Empty,Empty,8.3,Empty,Empty,Empty,71.5
Qatar,Middle East and North Africa,53.69376,19.05475,13.264,40.1,82.75074,109.7722,Empty,63.1
Romania,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0
Russia,Europe and Central Asia,75.59826,16.66023,15.662,101.2,81.22361,151.5723,0.55,50.0
Rwanda,Sub-Saharan Africa,20.63861,0.302762,11.384,9.8,6.287355,12.73618,Empty,70.7
Saint Barthã©Lemy,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Saint Helena,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
Saint Kitts And Nevis,Latin America and the Caribbean,368.5401,4.895423,18.407,Empty,91.524,28.14868,Empty,71.5
Saint Lucia,Latin America and the Caribbean,110.9345,5.60321,12.71,7.1,92.36745,58.58724,Empty,71.5
Saint Martin,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Saint Pierre And Miquelon,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Saint Vincent And The Grenadines,Latin America and the Caribbean,239.5675,5.387857,16.253,6.5,126.6503,119.6023,Empty,71.5
Samoa,East Asia and Pacific,51.45422,1.642523,12.436,30.7,108.4168,38.83172,Empty,73.3
San Marino,Europe and Central Asia,Empty,Empty,12.403,Empty,Empty,Empty,Empty,50.0
Sao Tome And Principe,Sub-Saharan Africa,164.7467,0.713347,12.664,12.7,21.42052,13.73445,Empty,70.7
Saudi Arabia,Middle East and North Africa,42.53524,10.6368,15.172,25.4,66.25371,70.91579,0.48,63.1
Senegal,Sub-Saharan Africa,19.64031,3.561178,9.145,11.4,20.7392,16.88371,Empty,70.7
Serbia,Europe and Central Asia,52.55658,13.33428,14.504,156.2,79.36766,205.299,0.45,50.0
Seychelles,Sub-Saharan Africa,9496.926,10.23994,13.892,20.1,65.45881,103.7989,Empty,70.7
Sierra Leone,Sub-Saharan Africa,17.48354,1.455635,9.016,10.6,9.856725,7.205391,Empty,70.7
Singapore,East Asia and Pacific,64.36674,Empty,16.903,36.9,Empty,Empty,0.38,73.3
Sint Maarten,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Slovakia,Europe and Central Asia,21.54904,9.867697,14.722,176.1,62.49542,185.5581,0.3,50.0
Slovenia,Europe and Central Asia,12.80332,8.739005,17.407,189.3,60.57173,192.5688,0.17,50.0
Solomon Islands,East Asia and Pacific,118.342,0.834546,10.301,24.6,14.94765,8.058005,Empty,73.3
Somalia,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
South Africa,Sub-Saharan Africa,22.21957,6.855614,14.264,11.2,62.58389,49.97685,0.29,70.7
South Georgia And The South Sandwich Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
South Sudan,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
Spain,Europe and Central Asia,78.77776,14.80602,17.809,48.7,104.1691,173.5954,0.27,50.0
Sri Lanka,South Asia,75.82385,3.719166,13.642,15.1,11.39652,44.64912,Empty,49.7
Sudan,Sub-Saharan Africa,27.02198,1.19598,5.635,10.5,18.36684,85.48409,0.31,70.7
Suriname,Latin America and the Caribbean,51.81121,5.90099,10.959,6.5,58.43468,36.12993,Empty,71.5
Svalbard And Jan Mayen,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0
Sweden,Europe and Central Asia,5.42308,13.38871,19.037,98.4,68.46247,216.0904,0.14,50.0
Switzerland,Europe and Central Asia,19.72536,12.61537,16.584,94.8,66.28783,303.9418,0.15,50.0
Syria,Middle East and North Africa,88.99445,3.821802,7.419,28.8,16.33131,76.08144,Empty,63.1
Taiwan,East Asia and Pacific,111.919,16.31314,Empty,Empty,90.32929,59.15171,0.53,73.3
Tajikistan,Europe and Central Asia,89.30186,3.929416,10.861,32.9,35.08128,92.42925,Empty,50.0
Tanzania,Sub-Saharan Africa,21.61365,2.591091,8.586,10.0,11.93319,35.7186,Empty,70.7
Turkey,Europe and Central Asia,68.7383,9.80275,19.685,43.6,45.85727,189.6048,0.51,50.0
Thailand,East Asia and Pacific,337.7773,11.82369,15.581,14.8,25.91616,28.80462,0.47,73.3
Timor-Leste,East Asia and Pacific,Empty,Empty,13.242,Empty,Empty,Empty,Empty,73.3
Togo,Sub-Saharan Africa,17.36265,2.190335,12.962,10.4,10.37732,5.042636,Empty,70.7
Tokelau,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Tonga,East Asia and Pacific,147.6218,3.336419,16.287,30.0,150.2406,53.77941,Empty,73.3
Trinidad And Tobago,Latin America and the Caribbean,40.5739,5.066238,14.101,6.5,64.12119,76.29039,Empty,71.5
Tunisia,Middle East and North Africa,22.305,7.095983,14.62,32.2,30.82063,102.0863,Empty,63.1
Turkmenistan,Europe and Central Asia,115.282,11.39363,13.241,31.9,52.4587,114.1408,Empty,50.0
Turks And Caicos Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Tuvalu,East Asia and Pacific,Empty,9.330864,12.102,Empty,77.08694,23.13512,Empty,73.3
Uganda,Sub-Saharan Africa,20.96775,0.788946,11.496,9.2,9.587189,29.87009,Empty,70.7
Ukraine,Europe and Central Asia,57.90405,15.562,13.328,112.3,46.38618,141.8666,0.43,50.0
United Arab Emirates,Middle East and North Africa,52.43877,11.27358,17.208,28.7,76.70278,120.5803,0.38,63.1
United Kingdom,Europe and Central Asia,15.60899,9.139245,17.634,449.6,83.25328,208.9055,Empty,50.0
United States,North America,30.60352,15.74897,16.413,Empty,121.7128,228.1323,0.31,71.0
Uruguay,Latin America and the Caribbean,73.39216,14.64641,17.352,45.0,64.44014,226.56,Empty,71.5
Uzbekistan,Europe and Central Asia,83.21526,12.20032,11.993,31.8,42.0123,259.1106,Empty,50.0
Vanuatu,East Asia and Pacific,99.78377,2.577917,11.812,25.6,36.88404,21.98013,Empty,73.3
Venezuela,Latin America and the Caribbean,54.22483,5.998797,13.502,25.3,37.05611,93.24217,0.5,71.5
Vietnam,East Asia and Pacific,124.1683,3.713503,Empty,19.8,52.75736,36.65238,0.66,73.3
Virgin Islands,Latin America and the Caribbean,Empty,Empty,Empty,7.7,Empty,Empty,Empty,71.5
Wallis And Futuna,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Western Sahara,Middle East and North Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,63.1
Yemen,Middle East and North Africa,52.33308,1.49869,7.935,23.4,14.14058,23.07982,Empty,63.1
Zambia,Sub-Saharan Africa,18.67087,2.781207,11.018,8.8,17.96858,7.280802,0.58,70.7
Zimbabwe,Sub-Saharan Africa,21.34658,1.117215,11.026,8.8,57.49594,27.94053,0.7,70.7
